method_name,count
Met One E-FRM PM10-2.5 Sampler Pair - Paired Gravimetric,7
Correlated Ambilabs 2-WIN (Wavelength Integrating Nephelometer) - Nephelometry,7
WEDDING-AUTOMATED-PM10 SAMPLER - BETA-GAUGE,7
Instrumental - Electronic or machine average level 4,7
PM2.5 WINS w/Correction Factor - TEOM Gravimetric 30 deg C,7
Low- Vol TEI 2025 with Omni-directional Inlet - Energy Dispersive X-Ray Fluorescence (EDXRF),7
INSTRUMENTAL - MONOSTATIC ACOUSTIC RADAR,7
URG MASS450 Quartz WINS - EC1+EC2+EC3-OP,6
MET ONE SASS QUARTZ - EC1+EC2+EC3-(OP(TOT))=(88329+88330+88331-88379),6
URG MASS450 Quartz WINS - 11*(H-0.25*Sulfur)),6
URG MASS450 Quartz WINS - OC1+OC2+OC3+OC4+OP,6
Met One SASS/SuperSASS Quartz - Sample Flow Rate CV,6
URG MASS450 Quartz WINS - Thermal Optical Reflectance,6
Met One SASS Quartz - Sample Volume,6
Andersen RAAS Quartz - IMPROVE TOR,6
Met One SASS/SuperSASS Quartz - EC1+EC2+EC3-(OP(TOR)=(88329+88330+88331-88328),6
Met One SASS/SuperSASS Quartz - OC1+OC2+OC3+OC4+(OP(TOR))=(88324+88325+88326+88327+88328),6
MET ONE SASS QUARTZ - OC1+OC2+OC3+OC4+(OP(TOT))=(88324+88325+88326+88327+88379),6
Met One SASS Quartz - IMPROVE_A TOT w/ Adjustment,6
R&P MDL2300 PM2.5 Seq Spec Quartz - IMPROVE TOR,6
BUCKET - JACOBS METHOD,6
PM2.5 SCC w/Correction Factor - TEOM Gravimetric 40 deg C,6
SS Canister Subambient pressure - Gas Chromatograph Mass Selective detector,6
LO-VOL-GMW9200 - GRAVIMETRIC,6
HI-VOL-SA/GMW-1200 - X-RAY DIFFRACTION,6
Instrumental - Flame Photometric,6
6L Pressurized Canister - Entech Precon - HP GC/FTIR/MS,6
Thermo 2000 - Gravimetric,6
Instrumental - Thermopile Sensor,6
Thermo Scientific Dichot. Partisol-Plus - Grvimetric,6
Met One E-SEQ-FRM PM10-2.5 sampler pair - Paired Gravimetric,5
INSTRUMENTAL - PYRHELIOMETER,5
Method not available,5
INSTRUMENTAL - VISUAL AVERAGE LEVEL 2,5
INSTRUMENTAL - TVA PYRANOMETER-AVG 5 MIN READINGS,5
No Method-None - None,5
R & P Model 2025 PM2.5 Sequential Quartz VSCC - Ion Chromatography,4
Teledyne T640 at 5.0 LPM - Broadband Spectroscopy,4
Hi Vol SA/GMW-1200 - Thermal Optical Transmittance,4
Cartridge-DNPH-ON-Silica - HPLC Ultraviolet Absorption,4
BGI Model PQ100 PM2.5 Sampler - Liquid Injection Varian GC/MS,4
INSTRUMENTAL - EPPLEY PIR INFRARED,4
INSTRUMENTAL - COLORIMETRIC-GRIESS-SALTZMAN,4
INSTRUMENTAL - Nondispersive Infrered Photometry,4
Andersen RASS10-300 PM10 - X-ray Fluorescence (EDXRF) FRM,4
R&P FRM Model 2000(Single) - Liquid Injection Varian GC/MS,4
NADP BUCKET: DRY & WET SIDE - GRAVIMETRIC,4
Instrumental - Ultraviolet Absorption,4
NADP BUCKET:DRY SIDE - ATOMIC ABSORPTION,4
Magee Scientific AE22HS Aethalometer - Optical absorption,3
Met-One BAM W/PM2.5 WINS - Beta Attenuation,3
T A Series FH 62 C14 Continuous - Gravimetric,3
Instrumental - R & P TEOM 1400ab,3
Magee AE22HS Aethalometer - Optical absorption,3
TEOM with Magee Scientific AE16 Aethalometer - Optical absorption,3
Instrumental R&P M1400A TSP HD - TEOM-Gravimetric,3
INSTRUMENTAL - COULOMETRIC NEUTRAL KI,3
R & P Partisol 2025 Teflon - HPLC tandem MS,3
DICHOTOMOUS - 15-3.5 GRAVIMETRIC,3
DICHOTOMOUS - 3.5-0 GRAVIMETRIC,3
R&P MDL2300 PM2.5 Seq Spec Quartz - Thermal Optical Reflectance,2
R&P MDL2300 PM2.5 Seq Spec Quartz - EC1+EC2+EC3-OP,2
R&P MDL2300 PM2.5 Seq Spec Quartz - OC1+OC2+OC3+OC4+OP,2
Andersen RAAS Quartz - Thermal Optical Reflectance,2
Met One SASS/SuperSASS Nylon - Calculation,2
BGI MOdel PQ!)) PM2.5 Sampler - Liquid Injection Varian GC/MS,2
INSTRUMENTAL - CATALYST-FLAME PHOTOMETRIC,2
R & P Model 2300 PM2.5 Sequential Teflon - Ion Chromatography,2
"MIC_BIC sampler, Dual gold amalgamation - Cold vapor atomic fluorescence",2
R&P MDL2300 PM2.5 Seq Spec Quartz - 11*(H-0.25*Sulfur)),2
HI-VOL - PHENOL-DISULFONIC ACID,2
INSTRUMENTAL - UV absorption photometry,2
BGI MODEL PQ200 PM2.5 SAMPLER w/WINS - PAIRED GRAVIMETRIC DIFFERENCE,2
HI-VOL - MOLYBDATE-STANNOUS CHLORIDE,2
INSTRUMENTAL - UV PHOTOMETRIC,2
Andersen RAAS Quartz - 11*(H-0.25*Sulfur)),2
SORBANT TUBE CARBOSIEVE-C-TRAP - GAS CHROMATOGRAPH W/FLAME; GC FID,2
HI-VOL - GC/MS,2
Instrumental Hygrothermograph - Manual reduction of graph trace,1
RADIOSONDE - CALCULATED,1
TENAX/SPHERPCARB SORBENT-TRAP - HEAT DESORPTION GC-HECD,1
Teledyne T640x at 16.67 LPM - Broadband Spectroscopy,1
INSTRUMENTAL - ENTECH CRYFOCUS/VARINA GC/FINN DTMS,1
GCA BETA TAPE - RESPIRABLE BETA RADIATION ATTENUA,1
AUTOMATED WINS 2.5UM IMPACTOR - BETA GUAGE,1
Preconcentration Trap - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,1
